,tweet_id,created_date,username,location,retweeted_username,content_type,mentioned_users,text,positive_sent_score,negative_sent_score,compound_sent_score
0,1497607605841281026,Sat Feb 26 16:20:52 +0000 2022,Angela Pinilla (She/Her),"Boston, US",Mike Hudema,RT,['Mike Hudema'],"RT @MikeHudema: Antarctic sea ice falls to lowest level since measurements began: https://t.co/z1bRtZw0BQ

We're in a #ClimateCrisis. We mu…",0.0,12.6,12.6
3,1497607060887724041,Sat Feb 26 16:18:42 +0000 2022,Leighknoww🧡🎯| DON'T RT MY RETWEETS ‼️,she/her,MetaMine,RT,"['MetaMine', 'Uniswap Labs 🦄', 'PancakeSwap 🥞 #BSC']","RT @MetaMineToken: We are available on @Uniswap and @PancakeSwap! 

Don't miss your chance, get MINE now 👉 https://t.co/khpdFlQiTE

#MetaMi…",6.2,8.7,8.7
9,1497606094428192768,Sat Feb 26 16:14:51 +0000 2022,PJS | old acc got suspended again,,MetaMine,RT,"['MetaMine', 'Uniswap Labs 🦄', 'PancakeSwap 🥞 #BSC']","RT @MetaMineToken: We are available on @Uniswap and @PancakeSwap! 

Don't miss your chance, get MINE now 👉 https://t.co/khpdFlQiTE

#MetaMi…",6.2,8.7,8.7
21,1497605433086803969,Sat Feb 26 16:12:14 +0000 2022,sam,sunsunjay ｡◕‿◕｡,MetaMine,RT,"['MetaMine', 'Uniswap Labs 🦄', 'PancakeSwap 🥞 #BSC']","RT @MetaMineToken: We are available on @Uniswap and @PancakeSwap! 

Don't miss your chance, get MINE now 👉 https://t.co/khpdFlQiTE

#MetaMi…",6.2,8.7,8.7
26,1497605222495105025,Sat Feb 26 16:11:23 +0000 2022,Ken Bixon,,Mike Hudema,RT,['Mike Hudema'],"RT @MikeHudema: Antarctic sea ice falls to lowest level since measurements began: https://t.co/z1bRtZw0BQ

We're in a #ClimateCrisis. We mu…",0.0,12.6,12.6
29,1497604188011909121,Sat Feb 26 16:07:17 +0000 2022,flora,,Sarah,RT,"['Sarah', 'Jay Rouse 🇺🇦🇺🇦', 'Cheri Jacobus', 'Ellen Barkin']","RT @sarit_yael: @JayRouseDC @CheriJacobus @EllenBarkin And fueled by demand for fossil fuels. Koch, Putin, MBS, all depend on petro dollars…",0.0,7.3,7.3
30,1497603470991446016,Sat Feb 26 16:04:26 +0000 2022,Innovation Focus,USA,Mike Hudema,RT,['Mike Hudema'],"RT @MikeHudema: Antarctic sea ice falls to lowest level since measurements began: https://t.co/z1bRtZw0BQ

We're in a #ClimateCrisis. We mu…",0.0,12.6,12.6
31,1497603290007179266,Sat Feb 26 16:03:43 +0000 2022,어떻하지??!!,south KOREA,Powerledger,RT,"['Powerledger', 'Ember']",RT @PowerLedger_io: “The gas crisis has really demonstrated that Europe needs to get serious about renewables deployment” - @EmberClimate.…,0.0,24.1,24.1
36,1497602920048648202,Sat Feb 26 16:02:14 +0000 2022,william Baker,Newcross London,Mike Hudema,RT,['Mike Hudema'],"RT @MikeHudema: Antarctic sea ice falls to lowest level since measurements began: https://t.co/z1bRtZw0BQ

We're in a #ClimateCrisis. We mu…",0.0,12.6,12.6
41,1497602086728396805,Sat Feb 26 15:58:56 +0000 2022,Hina⁷ ü | Manifesting wins from fam! 🤗💜,Magic Shop,MetaMine,RT,"['MetaMine', 'Uniswap Labs 🦄', 'PancakeSwap 🥞 #BSC']","RT @MetaMineToken: We are available on @Uniswap and @PancakeSwap! 

Don't miss your chance, get MINE now 👉 https://t.co/khpdFlQiTE

#MetaMi…",6.2,8.7,8.7
49,1497600653245382656,Sat Feb 26 15:53:14 +0000 2022,Sofia 🐻 free tag 🍀,,MetaMine,RT,"['MetaMine', 'Uniswap Labs 🦄', 'PancakeSwap 🥞 #BSC']","RT @MetaMineToken: We are available on @Uniswap and @PancakeSwap! 

Don't miss your chance, get MINE now 👉 https://t.co/khpdFlQiTE

#MetaMi…",6.2,8.7,8.7
